Type,Watts,Start Date,Ownership
HPS,150,2010-10-01,COE
HPS,250,2005-12-01,COE
LED,54,2014-04-01,COE
HPS,70,2002-09-01,COE
HPS,70,2002-09-01,COE
LED,65,2014-05-13,COE
LED,86,2013-11-13,COE
HPS,250,2004-01-29,COE
HPS,70,2002-09-01,COE
HPS,70,1993-03-19,COE
HPS,100,2013-02-20,COE
LED,153,2015-10-22,COE
LED,65,2014-12-20,COE
LED,53,2016-04-12,COE
HPS,90,2001-10-12,COE
LED,73,2016-04-12,COE
HPS,70,1990-12-17,COE
LED,34,2016-04-12,COE
HPS,150,2002-09-01,COE
HPS,70,2002-09-01,COE
HPS,150,1985-01-01,COE
HPS,70,1985-01-01,COE
HPS,70,2002-09-01,COE
LED,22,2013-08-16,COE
HPS,150,2002-09-01,COE
LED,201,2016-10-17,COE
HPS,70,2002-09-01,COE
HPS,150,1990-03-30,COE
LED,143,2012-01-26,COE
HPS,150,2012-02-01,COE
HPS,70,1989-11-16,COE
HPS,100,2004-09-01,COE
HPS,310,2011-11-09,COE
LED,22,2011-11-29,COE
HPS,100,2002-09-01,COE
LED,35,2016-11-01,COE
HPS,150,2002-09-01,COE
HPS,100,2002-09-01,COE
HPS,150,2006-03-21,COE
HPS,250,2012-12-01,COE
HPS,70,1985-01-01,COE
HPS,150,2010-02-22,COE
HPS,70,1978-11-29,COE
LED,200,2014-08-01,COE
HPS,150,1981-01-01,COE
HPS,70,2002-09-01,COE
HPS,100,1987-01-01,COE
HPS,400,2004-08-18,COE
HPS,400,2004-08-18,COE
LED,22,2011-11-01,COE
HPS,150,2011-03-09,COE
LED,34,2016-06-17,COE
LED,22,2013-08-16,COE
LED,34,2017-01-15,COE
LED,86,2013-03-01,COE
HPS,100,1993-12-13,COE
HPS,100,2012-03-15,COE
HPS,100,2001-11-01,COE
HPS,70,2002-09-01,COE
HPS,70,1985-01-01,COE
HPS,100,2004-11-18,COE
HPS,70,1985-01-01,COE
HPS,250,2007-01-01,COE
HPS,250,1989-10-17,COE
HPS,400,2003-10-21,COE
LED,143,2016-03-04,COE
HPS,400,1987-01-01,COE
LED,26,2014-04-01,COE
HPS,150,1994-12-12,COE
HPS,150,2001-06-11,COE
HPS,100,1994-01-01,COE
HPS,150,2011-02-01,COE
LED,53,2016-07-19,COE
HPS,200,2012-01-01,COE
LED,143,2012-01-23,COE
HPS,100,2003-01-01,COE
HPS,250,2003-10-07,COE
HPS,100,2003-11-01,COE
LED,72,2011-11-29,COE
HPS,150,2001-03-21,COE
HPS,70,1986-01-01,COE
HPS,100,1993-01-01,COE
LED,143,2013-12-14,COE
LED,73,2017-01-16,COE
LED,26,2014-04-01,COE
HPS,250,2011-03-08,COE
HPS,100,2007-10-01,COE
HPS,400,2003-10-07,COE
HPS,400,2003-10-07,COE
HPS,70,1990-06-04,COE
LED,35,2012-10-01,COE
HPS,100,2002-09-01,COE
HPS,400,1999-09-01,COE
HPS,100,1994-01-01,COE
LED,86,2014-10-16,COE
HPS,70,1985-01-01,COE
HPS,70,1993-08-19,COE
HPS,310,2010-11-01,COE
LED,143,2015-03-23,COE
LED,22,2013-06-12,COE
HPS,70,1986-10-01,COE
LED,91,2016-07-12,COE
LED,35,2013-07-24,COE
HPS,100,2002-10-01,COE
HPS,70,2002-02-20,COE
LED,41,2013-07-24,COE
HPS,100,1989-01-01,COE
HPS,100,2004-11-01,COE
HPS,100,2008-09-01,COE
HPS,100,2007-09-01,COE
HPS,100,2013-07-09,COE
LED,72,2014-11-01,COE
HPS,43,2002-09-01,COE
HPS,100,2002-09-01,COE
HPS,70,1986-01-01,COE
HPS,70,2002-01-01,COE
HPS,150,2002-06-27,COE
HPS,310,2007-01-01,COE
HPS,35,2013-08-16,COE
HPS,250,2010-12-16,COE
LED,53,2016-04-12,COE
HPS,250,2011-09-01,COE
HPS,100,1992-01-01,COE
LED,72,2015-08-10,COE
LED,40,2016-11-25,COE
LED,43,2014-08-01,COE
HPS,70,1989-11-22,COE
HPS,100,2002-09-01,COE
HPS,250,2010-10-19,COE
LED,40,2015-11-01,COE
HPS,150,2012-12-14,COE
LED,22,2013-02-27,COE
HPS,100,2002-09-01,COE
HPS,100,1989-01-01,COE
HPS,70,1985-01-01,COE
HPS,70,1987-06-25,COE
HPS,70,2002-09-01,COE
HPS,250,2005-07-14,COE
HPS,70,2002-09-01,COE
HPS,70,1985-01-01,COE
HPS,150,1991-01-01,COE
HPS,100,2004-08-01,COE
HPS,60,1987-01-01,COE
HPS,100,2006-05-23,COE
LED,66,2012-02-01,COE
HPS,70,2013-04-01,COE
LED,80,2016-11-01,COE
HPS,150,1987-05-28,COE
LED,34,2016-05-20,COE
HPS,100,2007-02-07,COE
HPS,60,2011-11-09,COE
HPS,70,1992-10-01,COE
HPS,100,2007-10-01,COE
LED,143,2015-11-25,COE
HPS,70,2002-09-01,COE
HPS,150,2011-02-02,COE
HPS,400,1984-01-01,COE
HPS,150,2002-09-01,COE
LED,34,2016-04-12,COE
HPS,70,1989-11-22,COE
LED,35,2016-03-01,COE
HPS,70,1989-01-01,COE
HPS,70,1984-01-01,COE
LED,43,2012-01-26,COE
HPS,250,2010-12-16,COE
HPS,70,2002-09-01,COE
HPS,150,1991-02-22,COE
HPS,400,2002-09-01,COE
HPS,150,2004-04-06,COE
HPS,100,2003-10-01,COE
HPS,100,2001-10-10,COE
HPS,100,2000-08-11,COE
LED,201,2016-08-15,COE
HPS,150,2005-11-21,COE
HPS,100,2000-10-30,COE
HPS,70,1984-01-01,COE
HPS,70,2002-09-01,COE
LED,90,2015-08-20,COE
HPS,70,2002-09-01,COE
HPS,150,2011-09-01,COE
HPS,250,1993-05-27,COE
HPS,400,2009-05-02,COE
LED,90,2015-08-20,COE
LED,83,2016-05-20,COE
HPS,70,1986-01-01,COE
LED,43,2011-09-27,COE
HPS,100,2010-11-01,COE
LED,86,2015-07-01,COE
LED,34,2016-04-12,COE
HPS,100,2013-09-01,COE
LED,161,2016-12-13,COE
HPS,70,1990-06-21,COE
HPS,100,2007-08-02,COE
HPS,150,2006-10-24,COE
MH,70,2009-11-30,COE
MH,70,2009-11-30,COE
HPS,400,1993-10-20,COE
HPS,150,1998-10-18,COE
HPS,150,1998-10-18,COE
LED,65,2013-02-01,COE
LED,35,2012-01-14,COE
HPS,150,2001-06-27,COE
LED,79,2015-04-28,COE
